"","Binomial","Common.Name","Species.Status","Domesticated","Class","Order","Family","Mass.g","Mass.Method","Mass.Method.Reliability","Mass.Notes","Mass.Reference","Diet.Graminoids","Diet.Browse.Fruit","Diet.Meat","Guild.only.Herbivory","Guild.w.Omnivory","Diet.Method","Diet.Method.Reliability","Diet.Notes","Diet.Reference","Fermentation.Type","Fermentation.Efficiency","Fermentation.Type.Method","Fermentation.Type.Method.Reliability","Fermentation.Type.Notes","Fermentation.Type.Reference","Limb.Morphology","Limb.Morphology.Method","Limb.Morphology.Method.Reliability","Limb.Morphology.Notes","Limb.Morphology.Reference","Habitat.Aquatic","Habitat.Terrestrial","Habitat.Arboreal","Habitat.Categorical","Habitat.Method","Habitat.Method.Reliability","Habitat.Notes","Habitat.Reference"
"11","Alces alces","Moose","Extant",0,"Mammalia","Cetartiodactyla","Cervidae",356998,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",0,3,0,"Browser","Browser","Observed fecal analysis",3,"Spitzer et al. 2020 report that in over 50 years of dietary studies, moose only consumed grass between <1% (winter) and 5% (summer). Diet is primarily browse and underwater plants, on which they are particularly dependent..","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Spitzer et al. 2020 Oikos","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",1,1,0,"Semi.Aquatic","Observed habitat use",3,"Denizen of boreal forests to tundra, particularly in areas with marshes. Moose are limited by high temperatures and by snow pack over 70 cm.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"12","Amblyrhiza inundata","Blunt-toothed Giant Hutia","Extinct before 1500 CE",0,"Mammalia","Rodentia","Echimyidae",93325.4,"Expert Opinion",0,"McFarlane et al. 1998 report a mean body mass of 94 kg. Raia et al. 2010 report this as a log body mass of 4.97, which gives the estimate in this dataset once converted back to kilograms. While the McFarlane estimate is an assumed average body mass without justification (i.e. expert opinion) it is based upon earlier work of the authors. They refer to Biknevicius et al. 1993. In this paper the authors estimate the body mass of Amblyrhiza inundata based on anteroposterior diameters and cortical cross-sectional areas of humeral and femoral diaphyses. These estimates are based on bone fragments from 14 different specimens. The authors note that the size of this species is notoriously variable variable.","Raia et al. 2010 Global Ecology and Biogeography; McFarlane et al. 1998 Quaternary Research; Biknevicius et al. 1993 American Museum Novitates",2,3,0,"Mixed Feeder","Mixed Feeder","Imputed",0,"No data found","","Hindgut Caecum",1,"Inferred from Family",2,"Rodents possess hindgut caecum fermentation systems. Hindgut caecum fermenters are generally smaller-bodied than hindgut colon fermenters. In colon fermenters the caecum is largely modified to become part of the colon, whereas in caecum fermenters, they remain separate structures. Caecums are generally modified into complex structures that retain solutes and fine particles for fermentation while larger particles are excreted through colon, reducing the extent of plant-wall breakdown.","Hume 2002 Acta Zoologica Sinica","Plantigrade","Inferred from Family",2,"","Cope 1883 The American Naturalist",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"While most hutias are semi-arboreal, this animal was gigantic. Arboreality was highly unlikely and would be extremely functionally distinct globally. Unfortunately, little is known empirically about this animal","Wilson and Mittermeier 2013 Handbook of the Mammals of the World"
"13","Ammodorcas clarkei","Dibatag","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",28049.8,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",0,3,0,"Browser","Browser","Observed foraging",3,"Dibatags primarily consume browse, but will also feed on soft, low-fiber grass at the onset of rainy season","Kingdon et al. 2013 Mammals of Africa","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"A species of semi-arid scrubland, preferring sandy to gravelly soils with high concentrations of ferrous-oxide.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"14","Ammotragus lervia","Aoudad","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",48000,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,3,0,"Mixed Feeder","Mixed Feeder","Observed fecal analysis; Observed foraging",3,"In some regions aoudads have a diet principally composed of browse, in others of grasses. They are apparently a true mixed feeder.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Gray and Simpson 1980 Mammalian Species; Fernandez-Olalla et al 2016 Journal of Arid Environments; Mimoun and Nouira 2015 South African Journal of Science","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"No evidence that this species, or any relative, substantially uses arboreal or aquatic habitats. Aoudad prefer steep, vertiginous terrain but also require some shade during summer, thus move into semi-open woodlands at times.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
"15","Anomalopteryx didiformis","Bush Moa","Extinct before 1500 CE",0,"Aves","Dinornithiformes","Emeidae",43720,"Proxy allometric relationship (femur length)",2,"","Latham et al. 2020 Ecography",0,3,0,"Browser","Browser","Observed coprolites",3,"Coprolites and gizzards indicate a diet almost exclusively of browse (0.2% graminoid) (data from Wood et al. 2020)","Wood et al. 2020 New Zealand Journal of Ecology","Hindgut Colon",1,"Inferred from Infraclass; Inferred from diet",0,"No empirical evidence nor expert opinions regarding the fermentation type of these birds. Their nearest, albeit distant, relatives are the tinamous of South America (Mitchell et al. 2014, Phillips et al. 2010), who are generalist herbivores with enlarged cecas (Garitano-Zavala et al. 2003). However, given their massive size, and the evolution of colon-based fermentation among other large-bodied ratites (rheas and ostriches), we are going to infer hindgut colon digestion as to the best of our knowledge there are no hindgut ceca fermentating animals of these sizes, and given that other truly herbivorous ratites have colons. However, emus and cassuaries have only simple guts. Also, it should be noted that all ratites lack crops (Sales 2006).","Sales 2006 Avian and Poultry Biology Reviews; Mitchell et al. 2014 Science; Phillips et al. 2010 Systematic Biology; Garitano-Zavala et al. 2003 Ornitologia Neotropical","Digitigrade","Observed Genus",3,"Other than the miharung, which was unguligrade, and loons and grebes, which are plantigrade, all other birds are digitigrade","Gill 2001 Ornithology",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"Most moa species, with the exception of the rarely-preserved North Island species, have had their habitat well-described and ranged low rainforest to high elevation tundra. No description of use of aquatic resources or specialized aquatic adaptions.","Worthy 1990 New Zealand Journal of Zoology"
"16","Antidorcas australis","Fossil springbok","Extinct before 1500 CE",0,"Mammalia","Cetartiodactyla","Bovidae",40000,"Method unknown",0,"Primary source inaccessible","Smith et al. 2003 Ecology",3,3,0,"Mixed Feeder","Mixed Feeder","Functional craniodental morphology; Proxy dental wear (microwear and mesowear); Proxy isotopes (C13)",2,"Funtional morphology, isotopes, and dental wear all indicate a mixed feeding diet of browse, forbs, and grass.","Faith and Behrensmeyer 2013 Paleobiology; Sewell et al. 2019 Journal of Archaeological Science","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed low sample size (1-5) habitat use; Inferred from absence of evidence",0,"No evidence that this species, or any relative, substantially uses arboreal or aquatic habitats","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"17","Antidorcas bondi","Fossil springbok","Extinct before 1500 CE",0,"Mammalia","Cetartiodactyla","Bovidae",34000,"Method unknown",0,"Primary source inaccessible","Smith et al. 2003 Ecology",3,1,0,"Grazer","Grazer","Proxy dental wear (microwear and mesowear); Proxy isotopes (C13)",2,"Isotopes and dental wear indicate a diet primarily of graze.","Sewell et al. 2019 Journal of Archaeological Science","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed low sample size (1-5) habitat use; Inferred from absence of evidence",0,"No evidence that this species, or any relative, substantially uses arboreal or aquatic habitats","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"18","Antidorcas marsupialis","Springbok","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",31500,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",1,3,0,"Browser","Browser","Observed fecal analysis; Proxy isotopes (C13)",3,"Springboks will consume young succulent grasses during rainy season, but prefer to browse.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"A species of arid regions, preferring short-grass. They are excluded from woodland savannas from a tick-borne disease to which they are highly susceptible. They avoid areas with water.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
"19","Antifer ultra","","Extinct before 1500 CE",0,"Mammalia","Cetartiodactyla","Cervidae",86666.2,"Inferred from relative of suggested similar size",0,"Assumed of a similar size as Blastocerus dichotomus.","Faurby et al. 2018 Ecology",2,3,0,"Mixed Feeder","Mixed Feeder","Imputed",0,"No empirical evidence found.","","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Inferred from Family",2,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed low sample size (1-5) habitat use; Inferred from absence of evidence",0,"No evidence of aquatic habitat use in this species or extant relatives","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"20","Antilocapra americana","Pronghorn","Extant",0,"Mammalia","Cetartiodactyla","Antilocapridae",46082.9,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",0,3,0,"Browser","Browser","Observed fecal analysis",3,"Pronghorn diet consists primarily of forbs and shrubs, with very little grass consumption.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Scasta et al. 2016 Rangeland Ecology and Management; Cain et al. 2017 Wildlife Biology","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed low sample size (1-5) habitat use; Inferred from absence of evidence",3,"No evidence that this species, or any relative, substantially uses arboreal or aquatic habitats. A denizen of open grasslands, although can be observed in open pine forest (EJL personal observation)","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"21","Antilope cervicapra","Blackbuck","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",37500,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,1,0,"Grazer","Grazer","Observed fecal analysis; Observed foraging",3,"Blackbucks are primarily grazers of short stature grasses such as Cynodon dactylon. When grazing quality deteriorates in the dry season they will switch to a diet of forbs, shrubs, fruit, and mast. It is unclear the percent contributions of these, but overall textual descriptions and reported evidence (e.g. in Baskaran et al. 2016) indicate that this species should be scored 3-1 graze-browse","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Jhala and Isvaran 2016 The Ecology of Large Herbivores in South and Southeast Asia; Baskaran et al. 2016 Mammalian Biology","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed low sample size (1-5) habitat use; Inferred from absence of evidence",0,"Blackbuck are plains animals whose abundance in regions with scattered forest and scrub is largely contingent on amount of grassland available. No evidence of significant aquatic foraging or usage.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"22","Arabitragus jayakari","Arabian Tahr","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",23000,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",0,3,0,"Browser","Browser","Expert Opinion",0,"Rare and elusive animal with little known about their diet. What evidence there is indicates a browsing diet.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wood 1992 International Zoo Yearbook; Al Majaini 1999 Thesis","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"Arabian tahrs are mountain ungulates of steep, vertiginous terrain. No evidence of significant aquatic foraging or usage.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Ross et al. 2019 Oryx"
"23","Archaeoindris fontoynonti","Sloth Lemur","Extinct before 1500 CE",0,"Mammalia","Primates","Palaeopropithecidae",160000,"Proxy allometric relationship (various measurements)",2,"The estimate is the mean of four different regression estimates based upon femur (n = 1) midshaft cortical area. The reported body mass estimates are rounded versions of those provided in Fleagle and Gilbert 2008.","Werdelin and Sanders 2010 Cenozoic Mammals of Africa; Fleagle and Gilbert 2008 Elwyn Simons a Search for Origins",0,3,0,"Browser","Browser","Functional craniodental morphology; Proxy dental wear (microwear)",2,"Dental wear indicates that this family were seed predators, consuming a mixed diet of foliage and fruit","Godfrey et al. 2004 Journal of Human Evolution; Crowley and Godfrey 2012 Leaping Ahead","Hindgut Colon",1,"Inferred from body mass; Inferred from sister Family",0,"Hindgut, but type unknown. Sister family to Indriidae, who have hindgut-caecum digestive systems. However, other than the capybara (45kg) there are few extant species, with caecum digestive systems and body masses much above 10kg (Hume 2002). Unlike the other extinct lemur families, family level inference based on body mass is suspect for Palaeopropithecidae as their body masses are highly variable (from 11kg to 160kg). Going to infer hindgut colon for Archaeoindris and hindgut caecum for the smaller bodied species.","Campbell et al. 2000 American Journal of Primatology; Clauss et al. 2003 Oecologia","Plantigrade","Inferred from sister Families",1,"","Kubo et al. 2019 PNAS",0,1,1,"Semi.Arboreal","Functional morphology",1,"Functional morphology suggests this species was arboreal but more terrestrial than modern sloth lemurs","Jungers et al. 1997 PNAS"
"24","Archaeolemur edwardsi","","Extinct before 1500 CE",0,"Mammalia","Primates","Archaeolemuridae",26500,"Proxy allometric relationship (various measurements)",2,"The estimate is the mean of four different regression estimates based upon humerus (n = 7) midshaft cortical area and four different regression estimates based upon femur (n = 8) midshaft cortical area. The reported body mass estimates are rounded versions of those provided in Fleagle and Gilbert 2008.","Werdelin and Sanders 2010 Cenozoic Mammals of Africa; Fleagle and Gilbert 2008 Elwyn Simons a Search for Origins",0,3,2,"Browser","Omnivore","Observed coprolites; Proxy dental wear (microwear); Proxy isotopes (C13)",3,"Dental wear (microwear) indicates that these were hard-object specialists, likely seed predators. Bone collagen isotopes indicates a browsing diet. Coprolites contained plant fiber, frog and bat bones, and gastropod shells","Godfrey et al. 2004 Journal of Human Evolution; Vasey et al. 2012 Leaping Ahead","Hindgut Colon",1,"Inferred from Suborder",0,"Foregut fermentation is very rare in Primates (only colobin monkeys have foregut fermentation), so presume hindgut - and because they are large-bodied, they are almost certainly using a colon-type fermentation chamber, even though extant lemurs use a caecum-style chamber.","Campbell et al. 2000 American Journal of Primatology; Hume 2002 Acta Zoologica Sinica","Plantigrade","Inferred from sister Families",0,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Functional morphology",1,"Functional morphology suggests that this species was most likely not arboreal","Jungers et al. 2005 Journal of Human Evolution"
"25","Archaeolemur majori","","Extinct before 1500 CE",0,"Mammalia","Primates","Archaeolemuridae",18000,"Proxy allometric relationship (various measurements)",2,"The estimate is the mean of four different regression estimates based upon humerus (n = 2) midshaft cortical area and four different regression estimates based upon femur (n = 3) midshaft cortical area. The reported body mass estimates are rounded versions of those provided in Fleagle and Gilbert 2008.","Werdelin and Sanders 2010 Cenozoic Mammals of Africa; Fleagle and Gilbert 2008 Elwyn Simons a Search for Origins",0,3,2,"Browser","Omnivore","Proxy dental wear (microwear); Proxy isotopes (C13)",2,"Dental wear indicates hard-object specialists and seed predators / frugivores. Bone collagen carbon isotope values indicating a browsing diet.","Godfrey et al. 2004 Journal of Human Evolution","Hindgut Colon",1,"Inferred from Suborder",0,"Foregut fermentation is very rare in Primates (only colobin monkeys have foregut fermentation), so presume hindgut - and because they are large-bodied, they are almost certainly using a colon-type fermentation chamber, even though extant lemurs use a caecum-style chamber.","Campbell et al. 2000 American Journal of Primatology; Hume 2002 Acta Zoologica Sinica","Plantigrade","Inferred from sister Families",0,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Functional morphology",1,"Functional morphology suggests that this species was most likely not arboreal","Jungers et al. 2005 Journal of Human Evolution"
"26","Arctotherium tarijense","Short-faced bear","Extinct before 1500 CE",0,"Mammalia","Carnivora","Ursidae",139420,"Method uncertain",0,"Prevosti and Vizcaino 2006 base their estimate on Soibelzon 2002, who provides estimates for the mass of Arctotherium tarijense using six different regressions, based on M1 length and occipital condyle length. However, it is unclear how Prevosti and Vizcaino 2006 came up with the value of 139.42 kg. It does not appear in Soibelzon 2002. Prevosti and Vizcaino 2006 provide a body mass range of 102-189 kg. This suggest they based their estimate on regression A2 and B2 in Soibelzon 2002, though this is speculative. The Prevosti and Vizcaino estimate seems realistic, though, as it falls within the range of mass estimates provided by Soibelzon 2002.","Prevosti and Vizcaino 2006 Acta Palaeontologica Polonica; Soibelzon 2002 Thesis",0,3,3,"Browser","Omnivore","Functional craniodental morphology; Proxy isotopes (C13, N15)",2,"Isotopes indicate a broad diet of C3 vegetation. Also likely a scavenger (Prevosti and Martin 2013). Figueirido and Soibelzon 2010 also suggest it was primarily an herbivore based on morphology.","Figueirido and Soibelzon 2010 Lethaia; Prevosti and Martin 2013 Quaternary International","Simple Gut",0,"Inferred from Family",2,"Bears possess simple carnivore style stomachs, without significant fermentation of plant components of their diet. Their diet thus tends towards high-nutrient foods, fruits, and starches","Hume 2002 Acta Zoologica Sinica","Plantigrade","Inferred from Family",2,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Functional morphology",1,"Predicted to be exclusively terrestrial through morphological inference of elbow joint similarity to extant species.","Meloro et al. 2019 Journal of Mammalian Evolution"
"27","Arctotherium wingei","Short-faced bear","Extinct before 1500 CE",0,"Mammalia","Carnivora","Ursidae",73498.6,"Functional isometric relationship (mandibula size)",1,"Presumably mandible length, though the measurment is not specified. Comparison species unknown.","Faurby et al. 2018 Ecology",0,3,2,"Browser","Omnivore","Functional craniodental and appendicular morphology",1,"Functional morphology suggests that these short-faced bears were browsing omnivores, similar to most bears","Figueirido and Soibelzon 2010 Lethaia","Simple Gut",0,"Inferred from Family",2,"Bears possess simple carnivore style stomachs, without significant fermentation of plant components of their diet. Their diet thus tends towards high-nutrient foods, fruits, and starches","Hume 2002 Acta Zoologica Sinica","Plantigrade","Inferred from Family",2,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Functional morphology",1,"Predicted to be exclusively terrestrial through morphological inference of elbow joint similarity to extant species.","Meloro et al. 2019 Journal of Mammalian Evolution"
