Binomial.1.2,Mass.Source.Formatted,Mass.Source.Original,Mass.Comparison.Source.Formatted,Mass.Comparison.Source.Original,Browsing.Grazing.Source.Formatted,Browsing.Grazing.Method,Browsing.Grazing.Notes,Browsing.Grazing.Source.Original,Fermentation.Type.Source.Formatted,Fermentation.Type.Source.Original,Substrate.Source.Formatted,Substrate.Source.Original,Food.Handling.Source.Formatted,Food.Handling.Source.Original,Foot.Type.Source.Formatted,Foot.Type.Source.Original,Herd.Size.Source.Formatted,Herd.Size.Source.Original,Digging.Rooting.Source.Formatted,Digging.Rooting.Source.Original,k_medoid_herbivore,Mass.Method,Mass.Comparison,Fermentation.Type.Method,Fermentation.Type.Notes,Substrate.Notes,Food.Handling,Food.Handling.Notes,Foot.Type.Coarse,Foot.Type.Notes,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Other.Notes
Palorchestes_azeal,Johnson 2007 Mammal Extinctions,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,Estimated Expert Species,Species,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Dawson 2006 Alcheringa,Dawson 2006,Australia Museum,https://australianmuseum.net.au/palorchestes-azeal,Australia Museum,https://australianmuseum.net.au/palorchestes-azeal,Reported morphology Family,Reported morphology Family,NA,NA,Johnson and Prideaux 2004 Austral Ecology; Lyndall 2006 Alcheringa,Johnson & Prideaux 2004,yes,Reported,NA,Extrapolated from extant relatives,"Not clear how author determined this, but Vombatidae and Phascolarctidae are both hindgut fermenters",Forest,Proboscis/giraffe-like tongue/scansorial and fossorial arms,,soft,,NA,NA,NA,2,NA,NA,rooting,,,NA
Metasthenurus_newtonae,Johnson 2007 Mammal Extinctions,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,Estimated Expert Species,"""""""""""""""""""""""""""""""""browser""""""""""""""""""""""""""""""""","Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",NA,NA,Prideaux et al. 2009 PNAS,Prideaux et al. 2009,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,NA,,hoofed,Monodactyl hoof-like 'unguligrade',NA,NA,NA,NA,NA,NA,,,,NA
Procoptodon_gilli,Johnson 2007 Mammal Extinctions,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,Estimated Expert Species,"""""Browser"""". No better information","Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",NA,NA,Prideaux et al. 2009 PNAS,Prideaux et al. 2009,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,forest,NA,,hoofed,Monodactyl hoof-like 'unguligrade',NA,NA,NA,NA,NA,NA,,,,NA
Simosthenurus_occidentalis,Johnson 2007 Mammal Extinctions,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,Estimated Expert Species,"All members described as browsers, no more specific info","Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",NA,NA,Prideaux et al. 2009 PNAS,Prideaux et al. 2009,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Mesic Forest,NA,,hoofed,Monodactyl hoof-like 'unguligrade',NA,NA,NA,NA,NA,NA,,,,NA
Maokopia_ronaldi,Johnson 2007 Mammal Extinctions,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,Estimated Expert Species,Flannery (1999) argues that this taxa is a grazer due to morphology and habitat associated with fossil remains. 0 given to browse to be conservative,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Inferred from Dawson 2006 Alcheringa,inferred from Dawson 2006,Inferred from Flannery 1999 Records of the Western Australia Museum,Inferred from Flannery 1999,NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Extrapolated from extant relatives,"Not clear how author determined this, but Vombatidae and Phascolarctidae are both hindgut fermenters",NA,Mouth,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Simosthenurus_maddocki,Johnson and Prideaux 2004 Austral Ecology,"Johnson, C. N., et al. 2004. Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology 29: 553-557.",NA,NA,Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,Estimated Expert Species,"All members described as browsers, no more specific info","Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",NA,NA,Prideaux et al. 2009 PNAS,Prideaux et al. 2009,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Forest,NA,,hoofed,Monodactyl hoof-like 'unguligrade',NA,3,NA,NA,NA,NA,,,,NA
Simosthenurus_pales,Johnson and Prideaux 2004 Austral Ecology,"Johnson, C. N., et al. 2004. Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology 29: 553-557.",NA,NA,Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,Estimated Expert Species,"All members described as browsers, no more specific info","Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",NA,NA,Prideaux et al. 2009 PNAS,Prideaux et al. 2009,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Forest,NA,,hoofed,Monodactyl hoof-like 'unguligrade',NA,NA,NA,NA,NA,NA,,,,NA
Macropus_pearsoni,Johnson and Prideaux 2004 Austral Ecology,"Johnson, C. N., et al. 2004. Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology 29: 553-557.",NA,NA,Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,Estimated Expert Species,"Summary paper, unclear how diets are estimated","Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Savanna,NA,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Macropus_ferragus,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,Estimated Expert Species,"""""""""""""""""""""""""""""""""grazer""""""""""""""""""""""""""""""""","Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Extrapolated based on extant relatives,extrapolated based on extant relatives,Flannery 1990 Archaeology in Oceania,Flannery 1990,NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Savanna,NA,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Macropus_greyi,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa,Estimated Expert Species,"Summary paper, unclear how diets are estimated","Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilman et al. 2014 Ecology,EltonTraits1.0,NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,unreported,NA,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Mylohyus_nasutus,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,"Koch and Barnosky 2006 Annual Review of Ecology, Evolution, and Systematics",Estimated Isotopes (C13) Genus,NA,"Koch, P. L., & Barnosky, A. D. (2006). Late Quaternary Extinctions: State of the Debate. Annual Review of Ecology, Evolution, and Systematics, 37(1), 215â€“250. https://doi.org/10.1146/annurev.ecolsys.34.011802.132415",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,0,0,0,NA,NA,,,,NA
Platygonus_compressus,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,"Koch and Barnosky 2006 Annual Review of Ecology, Evolution, and Systematics; Schmidt 2008 Proc. Indiana Academy of Science",Estimated Isotopes (C13 ) + Dental wear (microwear) Species,NA,"Koch, P. L., & Barnosky, A. D. (2006). Late Quaternary Extinctions: State of the Debate. Annual Review of Ecology, Evolution, and Systematics, 37(1), 215-250. https://doi.org/10.1146/annurev.ecolsys.34.011802.132415; ï»¿Schmidt, C. W. (2008). Dental microwear analysis of extinct flat-headed peccary (Platygonus Compressus) from southern Indiana. Proceedings of Indiana Academy of Science of Science, 117(2), 95â€“106.",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,"Koch and Barnosky 2006 Annual Review of Ecology, Evolution, and Systematics",Koch and Barnosky 2006,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,2,2,0,0,NA,NA,rooting,,Probably rooted much like pigs,
Bootherium_bombifrons,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,"Kohn and Mckay 2012 Palaeogeography, Palaeoclimatology, Palaeoecology",Estimated Isotopes (C13+018) Species,NA,"Kohn, M. J., & Mckay, M. P. (2012). Paleoecology of late Pleistoceneâ€“Holocene faunas of eastern and central Wyoming, USA, with implications for LGM climate models. Palaeogeography, Palaeoclimatology, Palaeoecology, 326â€“238, 42â€“53. https://doi.org/10.1016/j.palaeo.2012.01.037",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,NA,NA,,,,NA
